Rank,Company,股票代码,部门,行业,盈利,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,资产,更新市值
763,Euronet Worldwide,EEFT,Business Services,Financial Data Services,1,1,0,1,43,1,0,0,0,0,10000,5032.9,3688,9.8,279.7,21.1,5894.4,5033
764,Hawaiian Electric Industries,HE,Energy,Utilities: Gas and Electric,1,0,0,0,-13,0,1,0,0,0,3652,1243.1,3682.2,-1.6,199.2,-17.4,17243.8,1243
765,DraftKings,DKNG,"Hotels, Restaurants & Leisure","Hotels, Casi0s, Resorts",0,1,0,1,0,0,0,0,0,0,4400,39447.3,3665.4,63.6,-802.1,,3944.9,39447
766,IDEXX Laboratories,IDXX,Health Care,Medical Products and Equipment,1,0,0,1,36,1,0,0,0,0,11000,44843.4,3661,8.7,845,24.4,3259.9,44843
767,MYR Group,MYRG,Engineering & Construction,Engineering & Construction,1,0,0,1,93,1,0,0,0,0,9000,2958.7,3643.9,21.1,91,9.1,1578.7,2959
768,Deckers Outdoor,DECK,Apparel,Apparel,1,0,0,1,72,1,0,0,0,0,4200,24160.5,3627.3,15.1,516.8,14.4,2556.2,24161
769,DexCom,DXCM,Health Care,Medical Products and Equipment,1,0,0,1,103,1,0,0,0,0,9550,53471,3622.3,24.5,541.5,58.7,6264.5,53471
770,MKS Instruments,MKSI,Tech0logy,Semiconductors and Other Electronic Components,0,0,0,0,11,1,0,0,0,0,10100,8918.4,3622,2.1,-1841,-652.9,9118,8918
771,VICI Properties,VICI,Financials,Real estate,1,0,0,1,160,1,0,0,0,0,28,31075.1,3612,38.9,2513.5,124.9,44059.8,31075
772,Cooper Cos.,COO,Health Care,Medical Products and Equipment,1,0,0,1,45,1,0,0,0,0,15000,20165.8,3593.2,8.6,294.2,-23.7,11658.9,20166
